iter	Logloss
0	0.690679246
1	0.6883691884
2	0.6861703549
3	0.6841004496
4	0.68213724
5	0.6801924184
6	0.6783317802
7	0.6764159896
8	0.6745769207
9	0.6727527021
10	0.6708398943
11	0.6688919043
12	0.667311519
13	0.6660124138
14	0.6642086975
15	0.6628301545
16	0.661486575
17	0.6600362062
18	0.6586992043
19	0.6575198239
20	0.6563335115
21	0.6549111849
22	0.6536213736
23	0.6522661306
24	0.6511932313
25	0.6499532716
26	0.6487478876
27	0.6472946896
28	0.6462941664
29	0.6452746562
30	0.6442712912
31	0.6431674522
32	0.6421785866
33	0.6413719241
34	0.6404478965
35	0.6395837087
36	0.638477525
37	0.6374879103
38	0.6365346595
39	0.6355636704
40	0.6345673117
41	0.63379452
42	0.6328253887
43	0.6320233244
44	0.6311194029
45	0.6303962575
46	0.6292509622
47	0.6285433809
48	0.6276685702
49	0.6268763445
50	0.6261823721
51	0.6251297077
52	0.6244231165
53	0.6236878303
54	0.6230061119
55	0.6222000711
56	0.6213866702
57	0.620480515
58	0.6196875171
59	0.6188950721
60	0.6179614115
61	0.6173286897
62	0.6164726122
63	0.6156478928
64	0.6148412769
65	0.6142347472
66	0.6136116731
67	0.6128641939
68	0.6121512277
69	0.6115395666
70	0.6109759235
71	0.6103363175
72	0.6098130024
73	0.609307005
74	0.6087069565
75	0.608264029
76	0.6076271936
77	0.6069156622
78	0.6064634917
79	0.6059424307
80	0.6053259402
81	0.6047966169
82	0.604462295
83	0.6040512244
84	0.6034274236
85	0.6027319132
86	0.6023903815
87	0.6019308667
88	0.6014927321
89	0.6009097484
90	0.60050899
91	0.5999787698
92	0.5994663689
93	0.5991068328
94	0.5985645526
95	0.598229305
96	0.597637793
97	0.5970567074
98	0.596523442
99	0.5960291173
100	0.595507659
101	0.5950010688
102	0.5946267764
103	0.5942377343
104	0.5936890096
105	0.5933948335
106	0.5930907102
107	0.5926738559
108	0.5922246894
109	0.5917541214
110	0.5913965084
111	0.5908073276
112	0.5902562489
113	0.5897646436
114	0.5894522156
115	0.5892211167
116	0.588638828
117	0.588257352
118	0.5877476135
119	0.5870017516
120	0.5866706818
121	0.5862478959
122	0.585880202
123	0.5856180855
124	0.5851903351
125	0.5847102266
126	0.5843013827
127	0.5839387891
128	0.5835699503
129	0.5829605266
130	0.5822682518
131	0.5819188428
132	0.5815906807
133	0.5811975418
134	0.5807917314
135	0.5804858717
136	0.5800354784
137	0.5796162748
138	0.5793454309
139	0.579045312
140	0.578786288
141	0.5784092485
142	0.5781561557
143	0.5777278277
144	0.5774460894
145	0.5770703072
146	0.5767552337
147	0.5764230589
148	0.576040415
149	0.5754239569
150	0.5751444776
151	0.5747310688
152	0.5745104814
153	0.5740855913
154	0.5736179703
155	0.5732394875
156	0.5728853334
157	0.5726679507
158	0.5724752961
159	0.571967792
160	0.5716630326
161	0.5712337524
162	0.5706810045
163	0.5701762506
164	0.5697886859
165	0.5693355068
166	0.5690994424
167	0.5688032996
168	0.5683446457
169	0.5679233889
170	0.5674743515
171	0.5672003959
172	0.5668649538
173	0.566451896
174	0.5662000499
175	0.5657576362
176	0.5654492812
177	0.5651843464
178	0.5648443989
179	0.5643746511
180	0.5641092709
181	0.5637743405
182	0.5634829347
183	0.5630855162
184	0.5626704706
185	0.5623907806
186	0.5619995555
187	0.5618377083
188	0.5614030962
189	0.5611497623
190	0.560822113
191	0.5606100863
192	0.560279176
193	0.559988902
194	0.5595785479
195	0.5592216243
196	0.5588142965
197	0.5582751875
198	0.5577785029
199	0.5575462165
200	0.5572182512
201	0.5568694623
202	0.5565045048
203	0.5562797515
204	0.5559946014
205	0.5555968117
206	0.5552607707
207	0.5548720091
208	0.5545664547
209	0.5543403853
210	0.5540354907
211	0.5537743046
212	0.5535904753
213	0.5531727202
214	0.5529428939
215	0.5525957155
216	0.5521558525
217	0.5517179501
218	0.5513564021
219	0.5510680082
220	0.550752587
221	0.5504811874
222	0.5502332382
223	0.5500869825
224	0.5497798483
225	0.5494803442
226	0.5491210157
227	0.5487573029
228	0.5483865358
229	0.5479755302
230	0.5475822853
231	0.5473161146
232	0.5470743991
233	0.5467688453
234	0.5466391028
235	0.5461984457
236	0.546025388
237	0.5458401103
238	0.5455549562
239	0.5452331057
240	0.5450451289
241	0.5448027875
242	0.5446907791
243	0.544142594
244	0.543956498
245	0.5436123741
246	0.543153787
247	0.5429235297
248	0.5426969909
249	0.5421665026
250	0.5418716011
251	0.5415789408
252	0.5412517047
253	0.54093515
254	0.5406291083
255	0.5401964362
256	0.54002631
257	0.5397000154
258	0.5394527936
259	0.5392152556
260	0.5388669113
261	0.5387343746
262	0.5383881923
263	0.5381853667
264	0.5379267645
265	0.537656708
266	0.5374153131
267	0.5371382697
268	0.5367580581
269	0.5364473843
270	0.5361462113
271	0.5358766393
272	0.5356229537
273	0.5351720396
274	0.5348912108
275	0.5346815654
276	0.5343513817
277	0.5340421734
278	0.5337541086
279	0.5335182505
280	0.5332779356
281	0.5330275179
282	0.5327488945
283	0.5326198722
284	0.5322543869
285	0.531799464
286	0.5315944675
287	0.5313426434
288	0.5309115127
289	0.5306916813
290	0.5304362755
291	0.5302466265
292	0.5299530133
293	0.5297321116
294	0.5295024645
295	0.5292579954
296	0.528917654
297	0.5285798372
298	0.5283778929
299	0.5279901678
300	0.5277397952
301	0.5273586743
302	0.5270246175
303	0.5268109199
304	0.5264830971
305	0.52615584
306	0.5258238825
307	0.5254892122
308	0.5253013595
309	0.5249652642
310	0.5248723322
311	0.5246092258
312	0.5243546517
313	0.5240988107
314	0.5239359779
315	0.5236731277
316	0.523358087
317	0.5229936811
318	0.5227193013
319	0.5225388948
320	0.5222239784
321	0.5219686974
322	0.5217710374
323	0.521610992
324	0.5214676795
325	0.5212403701
326	0.5210537531
327	0.5207299189
328	0.5204177362
329	0.5200964938
